am hiểu
trục lợi
trứ danh
trữ tình
trực ban
tu bổ
tu dưỡng
tu hành
tu sửa
tung hô
tuyên bố
tuyển mộ
tuân thủ
tuổi thọ
tài sản
tàn phá
tàng trữ
tá tràng
tác động
tái tạo
tán loạn
táo bạo
tâm sự
tân binh
tây nam
tã lót
tê liệt
tên lửa
tì vết
tìm kiếm
tình cảm
tí hon
tía tô
tích cực
tín dụng
tính dục
tò mò
tóm tắt
tôm hùm
tôn giáo
tù binh
tù túng
tù đày
túc trực
túi bụi
túm tụm
tăm tối
tăng tốc
tơ lụa
tư cách
tư duy
tư gia
tư lợi
tư nhân
tư pháp
tư sản
tư thế
tư vấn
tươi đẹp
tương ái
tước vị
tại chỗ
tạm trú
tạo lập
tạp chí
tả thực
tản văn
tấm tắc
tấn công
tấp nập
tất yếu
tầm cỡ
tần suất
tầng lớp
tẩu tán
tẩy chay
tận tay
tập thể
tắm rửa
tắt thở
tẻ nhạt
tế bào
tế nhị
tếu táo
tề tựu
tệ bạc
tệ hại
tỉ giá
tỉ lệ
tỉ mỉ
tỉ phú
tỉ số
tỉ trọng
tỉnh lộ
tị nạn
tịch thu
tỏ tình
tỏ vẻ
tố cáo
tố giác
tố tụng
tốc độ
tối đa
tốn kém
tống đạt
tốt đẹp
tồi tệ
tồn tại
tổ chức
tổ hợp
tổ tiên
tổ ấm
tổn hại
tổng số
tội phạm
tột độ
tới lui
tờ trình
tụ họp
tụ tập
tụ điểm
tục lệ
tụt hậu
tủ lạnh
tủ sách
tủi thân
tứ chi
tứ kết
tứ tung
tức thì
từ bỏ
từ chối
từ giã
từ ngữ
từ thiện
từ điển
tử cung
tử hình
tử thi
tử vong
tự chủ
tự do
tự hào
tự khắc
tự lập
tự mãn
tự nhiên
tự phát
tự quản
tự sát
tự tin
tự vệ
tự xưng
tự ái
tự động
tựa đề
um tùm
ung thư
uy hiếp
uy lực
uy nghi
uy tín
uyên bác
uất ức
uể oải
uốn ván
va chạm
va đập
vai trò
van xin
vang dội
vay mượn
ve sầu
vi khuẩn
vi lượng
vi phạm
vi sai
vi trùng
vinh dự
việc làm
viện trợ
việt vị
vu cáo
vu khống
vu vơ
vui vẻ
vun đắp
vuốt ve
vàng mã
vành đai
vào vai
vãng lai
vèo vèo
ví dụ
ví như
ví von
vòi nước
vòm họng
vòng vây
vóc dáng
vô bổ
vô cùng
vô dụng
vô giá
vô hiệu
vô nghĩa
vô tình
vô vàn
vô ích
vô địch
võ nghệ
võ sĩ
võng mạc
vùi dập
vùng đất
văn bản
văng tục
vĩ cầm
vĩ mô
vĩ nhân
vĩ đại
vũ bão
vũ công
vũ khí
vũ lực
vũ trụ
vũ đạo
vơ vét
vượt bậc
vạm vỡ
vạn vật
vảy nến
vấn đề
vất vả
vần thơ
vận tải
vật tư
vắn tắt
vắng mặt
vẻ vang
vệ sinh
vỉa hè
vị giác
vị trí
vỏ chai
vỏn vẹn
vốn dĩ
vỗ béo
vỗ tay
vỗ về
vội vã
vớ vẩn
vớt vát
vỡ lòng
vỡ nợ
vợ chồng
vụ lợi
vụ việc
vụn vặt
vụng về
vừa phải
vững bền
vựa lúa
xa cách
xa hoa
xa lạ
xa rời
xa xăm
xanh lam
xay xát
xe buýt
xe cộ
xe hơi
xe khách
xe lửa
xe tăng
xe đạp
xem xét
xen lẫn
xin lỗi
xinh đẹp
xoa dịu
xoay xở
xoắn ốc
xu hướng
xu thế
xua đuổi
xui xẻo
xung đột
xuất xứ
xà cừ
xà kép
xà ngang
xà đơn
xác định
xám xịt
xán lạn
xáo trộn
xâm nhập
xây dựng
xã hội
xã luận
xã viên
xét xử
xê dịch
xì xào
xích đu
xói mòn
xóm làng
xót xa
xô bồ
xô xát
xô đẩy
xôn xao
xông xáo
xúc động
xúi giục
xăng dầu
xơ cứng
xơ gan
xơ xác
xưa nay
xưng hô
xương ức
xạ thủ
xả thân
xấp xỉ
xấu xí
xếp hạng
xối xả
xổ số
xứ sở
xử lí
xử phạt
xử sự
xử trí
xử án
yên tâm
yêu cầu
yếm khí
yết hầu
yếu tố
yểm trợ
ào ào
ào ạt
ác cảm
ác liệt
ác mộng
ác tính
ách tắc
ái ngại
ám chỉ
ám sát
ám ảnh
án mạng
án ngữ
án phí
án treo
ánh sáng
áo dài
áo giáp
áo khoác
áo lót
áo mưa
áo quần
áp chót
áp dụng
áp giải
áp lực
áp suất
áp thấp
áp đảo
áy náy
âm dương
âm hưởng
âm lịch
âm mưu
âm nhạc
âm thanh
âm đạo
ân cần
ân huệ
ân nhân
ân tình
ân xá
âu tàu
âu yếm
éo le
ép buộc
êm dịu
êm thấm
êm ái
êm đềm
ích lợi
ít nhiều
ít ỏi
ôm chầm
ôn luyện
ôn tập
ôn đới
ông bà
ùn tắc
úp mở
ăn cắp
ăn gian
ăn học
ăn khách
ăn mừng
ăn năn
ăn theo
ăn uống
ăn vạ
ăn xin
đa cảm
đa dạng
đa giác
đa khoa
đa năng
đa phần
đa sắc
đa tình
đam mê
đan lát
đau đớn
đe dọa
đen tối
đeo đuổi
đi lại
đi sâu
đi về
đi đôi
điên rồ
điều tra
điện tử
đo lường
đoàn kết
đu đủ
đun nấu
đuối sức
đà điểu
đàm phán
đàn ông
đào tạo
đá vôi
đái tháo
đám cưới
đáng kể
đánh giá
đáp ứng
đâm ra
đãi ngộ
đèn đỏ
đê điều
đêm hôm
đình chỉ
đìu hiu
đính hôn
đòi hỏi
đòn bẩy
đói khổ
đón tiếp
đóng cửa
đô hộ
đô thị
đô đốc
đôi khi
đông đúc
đùa giỡn
đùm bọc
đùn đẩy
đúc kết
đúng đắn
đút lót
đăng tải
đơn vị
đưa đón
đương sự
đường bộ
đại diện
đạm bạc
đạo đức
đả kích
đảm bảo
đảo lộn
đất nước
đấu giá
đầm ấm
đầu tiên
đầy đủ
đẩy mạnh
đậm nét
đậu nành
đắc cử
đắn đo
đắng cay
đắt đỏ
đằm thắm
đẳng cấp
đặc sản
đặt cọc
đẹp mắt
đế chế
đến cùng
đề bạt
đề cập
đề dẫn
đề kháng
đề nghị
đề phòng
đề tài
đề xuất
đề án
đền bù
đều đặn
để dành
đệ trình
đỉnh cao
địa bàn
định cư
đọ sức
đỏ au
đỏ hoe
đốc thúc
đối thủ
đồ chơi
đồ dùng
đồ nghề
đồ sộ
đồ vật
đồ ăn
đồ đạc
đồi bại
đồn trú
đồng hồ
đổ bộ
đổ dồn
đổ nát
đổ tội
đổi thay
đỗ đạt
độc đáo
đội ngũ
động cơ
đột phá
đời sống
đỡ đầu
đợi chờ
đụng độ
đức tin
đứt gãy
ưa thích
ưu tiên
ưu việt
ưu ái
ưu đãi
ước mơ
ảm đạm
ảo giác
ảo thuật
ấm cúng
ấm no
ấm áp
ấm ức
ấn hành
ấn phẩm
ấn tượng
ầm ầm
ẩm thực
ẩm ướt
ẩn danh
ẩn hiện
ẩn náu
ẩu đả
ốc sên
ốc đảo
ốm yếu
ốm đau
ống kính
ồn ào
ổn định
ủng hộ
ức chế
ứng dụng
